,source, target,node,bipartite
892,u28,u2312,u28,users
893,u28,u3702,u28,users
894,u28,u320,u28,users
895,u28,u2944,u28,users
896,u28,u405,u28,users
897,u28,u962,u28,users
898,u28,u5379,u28,users
899,u28,u8231,u28,users
900,u28,u681,u28,users
901,u28,u3438,u28,users
902,u28,u977,u28,users
903,u28,u7328,u28,users
904,u28,u1752,u28,users
905,u28,u7143,u28,users
906,u28,u7478,u28,users
907,u28,u7195,u28,users
908,u28,u6823,u28,users
909,u28,u9761,u28,users
910,u28,u8251,u28,users
911,u28,u7164,u28,users
912,u29,u9753,u29,users
913,u29,u4544,u29,users
914,u29,u1057,u29,users
915,u29,u3342,u29,users
916,u29,u7503,u29,users
917,u29,u10597,u29,users
918,u29,u7982,u29,users
919,u29,u6763,u29,users
920,u29,u10456,u29,users
921,u29,u7549,u29,users
922,u29,u3045,u29,users
923,u29,u379,u29,users
924,u29,u7146,u29,users
925,u29,u6959,u29,users
926,u29,u6631,u29,users
927,u29,u5134,u29,users
928,u29,u1337,u29,users
929,u29,u2521,u29,users
930,u29,u659,u29,users
931,u29,u9686,u29,users
932,u29,u76,u29,users
933,u29,u2632,u29,users
934,u29,u2431,u29,users
935,u29,u7791,u29,users
936,u29,u2526,u29,users
937,u29,u1151,u29,users
938,u29,u4887,u29,users
939,u29,u2974,u29,users
940,u29,u3716,u29,users
941,u29,u4019,u29,users
942,u29,u212,u29,users
943,u29,u4142,u29,users
944,u29,u4251,u29,users
945,u29,u2123,u29,users
946,u29,u4228,u29,users
947,u29,u8160,u29,users
948,u29,u4363,u29,users
949,u29,u83,u29,users
950,u29,u2284,u29,users
951,u29,u8799,u29,users
952,u29,u9981,u29,users
953,u29,u5675,u29,users
954,u29,u1040,u29,users
955,u29,u1835,u29,users
956,u29,u5735,u29,users
957,u29,u254,u29,users
958,u29,u5563,u29,users
959,u29,u6063,u29,users
960,u29,u3002,u29,users
961,u29,u9800,u29,users
962,u29,u6389,u29,users
963,u29,u5779,u29,users
964,u29,u621,u29,users
965,u29,u4850,u29,users
966,u29,u2951,u29,users
967,u29,u8747,u29,users
968,u29,u3599,u29,users
969,u29,u2471,u29,users
970,u29,u3900,u29,users
971,u29,u1549,u29,users
972,u29,u9165,u29,users
973,u29,u797,u29,users
974,u29,u915,u29,users
975,u29,u5350,u29,users
976,u29,u4340,u29,users
977,u29,u6691,u29,users
978,u29,u1388,u29,users
979,u29,u8513,u29,users
980,u29,u6139,u29,users
981,u29,u7954,u29,users
982,u29,u9481,u29,users
983,u29,u1540,u29,users
984,u29,u5294,u29,users
985,u29,u2527,u29,users
986,u29,u2144,u29,users
987,u29,u6516,u29,users
988,u29,u3471,u29,users
989,u29,u2196,u29,users
990,u29,u1118,u29,users
991,u29,u8870,u29,users
992,u29,u591,u29,users
993,u29,u2262,u29,users
994,u29,u46,u29,users
995,u29,u3469,u29,users
996,u29,u3877,u29,users
997,u29,u6112,u29,users
998,u29,u1170,u29,users
999,u29,u4304,u29,users
1000,u29,u506,u29,users
1001,u29,u1266,u29,users
1002,u29,u9057,u29,users
1003,u29,u1189,u29,users
1004,u29,u1888,u29,users
1005,u29,u60,u29,users
1006,u29,u129,u29,users
